4/1/2011 9:38,,,,,,
LadderDrivePower,LineFollowState,GyroAngle,FrontLeftEncoderDistance,AutonomousActiveState,SonarDistance,LadderPosition
1,1,-0.78,79,79,79,0
1,1,-0.78,79,79,79,0
1,1,-0.8,79,79,79,0
1,1,-0.81,79,79,79,0
1,1,-0.81,79,79,79,0
1,1,-0.81,79,79,79,0
1,1,-0.81,79,79,79,0
1,1,-0.81,79,79,79,0
1,1,-0.82,79,79,79,0
1,1,-0.82,79,79,79,0
1,1,-0.81,79,79,79,0
1,1,-0.81,79,79,79,0
1,1,-0.8,79,79,79,0
1,1,-0.8,79,79,79,0
1,1,-0.8,79,79,79,0
1,1,-0.8,79,79,79,0
1,1,-0.79,79,79,79,0
1,1,-0.79,79,79,79,0
1,1,-0.79,79,79,79,0
1,1,-0.79,79,79,79,0
1,1,-0.8,79,79,79,0
1,1,-0.81,79,79,79,0
1,1,-0.8,79,79,79,0
1,1,-0.8,79,79,79,0
1,1,-0.8,79,79,79,0
1,1,-0.8,79,79,79,0
1,1,-0.8,79,79,79,0
1,1,-0.8,79,79,79,0
1,1,-0.79,79,79,79,0
1,1,-0.79,79,79,79,0
1,1,-0.79,79,79,79,0
1,1,-0.8,79,79,79,0
1,1,-0.81,79,79,79,0
1,1,-0.82,79,79,79,0
1,1,-0.82,79,79,79,0
1,1,-0.83,79,79,79,0
1,1,-0.83,79,79,79,0
1,1,-0.83,79,79,79,0
1,1,-0.82,79,79,79,0
1,1,-0.83,79,79,79,0
1,1,-0.81,79,79,79,0
1,1,-0.81,79,79,79,0
1,1,-0.81,79,79,79,0
1,1,-0.82,79,79,79,0
1,1,-0.82,79,79,79,0
1,1,-0.82,79,79,79,0
1,1,-0.82,79,79,79,0
1,1,-0.82,79,79,79,0
1,1,-0.82,79,79,79,0
1,1,-0.82,79,79,79,0
1,1,-0.82,79,79,79,0
1,1,-0.82,79,79,79,0
1,1,-0.81,79,79,79,0
1,1,-0.81,79,79,79,0
1,1,-0.81,79,79,79,0
1,1,-0.8,79,79,79,0
1,1,-0.8,79,79,79,0
